0.96,0.57,1
0.395,0.649,1
0.473,0.564,1
0.979,0.558,1
0.905,0.286,1
0.955,0.243,1
0.314,0.227,1
0.865,0.283,1
0.896,0.618,1
0.753,0.215,1
0.371,0.276,1
0.504,0.571,1
0.592,0.964,1
0.803,0.286,1
0.792,0.291,1
0.705,1.13,1
0.349,0.625,1
0.767,0.192,1
0.25,0.009,1
0.33,0.266,1
0.367,0.067,1
0.228,0.036,1
0.302,0.63,1
0.251,0.01,1
0.787,0.232,1
0.406,0.589,1
0.923,0.614,1
0.862,0.479,1
0.869,0.233,1
0.579,0.993,1
0.337,0.632,1
0.789,0.958,1
0.267,0.613,1
0.254,0.535,1
0.932,0.722,1
0.291,0.007,1
0.391,0.595,1
0.315,0.57,1
0.613,0.904,1
0.68,1.095,1
0.932,0.546,1
0.257,0.031,1
0.354,0.608,1
0.406,0.584,1
0.265,0.078,1
0.882,0.621,1
0.403,0.558,1
0.284,0.118,1
0.262,0.033,1
0.443,0.317,1
0.941,0.574,1
0.407,0.141,1
0.357,0.592,1
0.901,0.609,1
0.247,0.035,1
0.991,0.575,1
0.303,0.19,1
0.199,0.046,1
0.434,0.232,1
0.686,0.977,1
0.213,0.037,1
1.019,0.556,1
0.601,1.004,1
0.391,0.288,1
0.79,0.28,1
0.391,0.133,1
0.352,0.264,1
0.815,0.259,1
0.328,0.247,1
0.869,0.238,1
0.635,0.897,1
0.337,0.584,1
0.472,0.119,1
0.397,0.267,1
0.236,0.603,1
0.709,0.264,1
0.946,0.548,1
1.026,0.525,1
0.246,0.08,1
0.214,0.004,1
0.715,0.991,1
0.387,0.579,1
0.971,0.511,1
0.666,1.07,1
0.824,0.269,1
0.895,0.624,1
0.64,0.91,1
0.695,1.012,1
0.278,0.002,1
0.278,0.042,1
0.447,0.189,1
0.504,0.289,1
0.23,0.108,1
0.849,0.195,1
0.376,0.607,1
0.343,0.603,1
0.979,0.717,1
0.359,0.596,1
0.384,0.468,1
0.203,0.052,1
0.71,1.189,0
0.126,0.052,1
0.368,0.588,1
0.374,0.304,1
0.879,0.618,1
0.16,0.055,1
0.782,0.296,1
0.977,0.641,1
0.247,0.032,1
0.289,0.28,1
0.501,0.544,1
0.296,0.066,1
0.407,0.482,1
0.302,0.059,1
0.743,0.28,1
0.474,0.198,1
0.261,0.062,1
0.362,0.474,1
0.362,0.531,1
0.872,0.201,1
0.942,0.52,1
0.9,0.535,1
0.395,0.319,1
