0.546,0.936
0.477,0.851
0.515,0.941
0.777,0.836
0.842,0.952
0.753,0.244
0.737,0.251
0.419,0.915
0.549,0.784
0.527,0.879
0.749,1.071
0.810,0.871
0.802,0.921
0.827,0.956
0.387,0.878
0.476,0.791
0.701,0.863
0.424,0.987
0.394,0.722
0.478,0.958
0.685,0.297
0.463,0.816
0.775,0.926
0.545,0.990
0.412,1.009
0.431,1.018
0.728,0.202
0.814,0.315
0.768,0.189
0.659,0.117
0.903,0.917
0.668,0.212
0.395,1.050
0.493,0.859
0.427,0.832
0.482,0.880
0.700,1.009
0.770,0.241
0.798,0.982
0.460,1.058
0.581,0.898
0.801,0.930
0.626,0.295
0.782,0.908
0.829,0.859
0.770,0.181
0.408,1.016
0.529,0.987
0.480,0.820
0.486,0.868
0.776,0.224
0.787,0.207
0.424,0.840
0.518,0.908
0.488,0.886
0.292,1.044
0.728,0.943
0.411,0.944
0.418,0.930
0.417,1.014
0.808,0.880
0.336,0.960
0.768,0.162
0.815,0.821
0.718,0.185
0.397,0.713
0.780,0.860
0.686,0.236
0.467,0.890
0.502,0.919
0.724,0.953
0.324,0.972
0.755,0.142
0.684,0.122
0.778,1.036
0.576,0.905
0.650,0.255
0.298,0.932
0.780,0.863
0.448,0.847
0.787,0.204
0.383,0.883
0.494,0.971
0.537,0.983
0.450,0.957
0.731,0.873
0.415,0.944
0.707,0.193
0.629,0.238
0.777,0.274
0.460,1.000
0.495,0.868
0.439,0.755
0.475,1.023
0.418,0.811
0.842,0.906
0.812,0.210
0.370,0.891
0.776,0.883
0.649,0.196
0.792,0.246
0.734,0.293
0.851,0.928
0.577,0.219
0.459,1.012
0.636,0.235
0.352,0.947
0.585,0.779
0.437,0.853
0.328,0.859
0.426,0.953
0.534,0.995
0.848,0.831
0.667,0.225
0.521,0.746
0.597,1.021
0.829,0.821
0.808,0.927
0.613,0.148
0.511,0.897
0.638,0.176
0.754,0.114
0.357,0.856
0.474,0.982
0.530,0.717
0.349,0.986
0.850,0.867
0.755,0.201
0.412,0.840
0.738,0.811
0.789,0.937
0.799,0.268
0.678,0.930
0.515,0.821
0.527,1.087
0.441,0.952
0.504,0.825
0.534,0.986
0.832,0.919
0.691,0.185
0.523,0.808
0.465,0.766
0.409,0.829
0.704,0.050
0.838,0.987
0.728,0.946
0.554,1.022
0.487,1.022
0.838,0.898
0.346,0.837
0.833,0.314
0.492,0.942
0.740,0.888
0.721,0.951
0.510,0.954
0.443,0.961
0.831,0.888
0.786,0.913
0.748,0.289
0.789,0.303
0.714,0.166
0.735,0.163
0.464,0.950
0.447,0.857
0.786,0.194
0.806,0.782
0.460,0.947
0.463,0.940
0.433,0.912
0.406,0.918
0.944,0.922
0.393,0.986
0.537,0.798
0.544,0.842
0.681,0.204
0.320,0.764
0.786,0.901
0.365,1.045
0.763,0.887
0.501,0.791
0.461,0.705
0.565,0.156
0.520,0.886
0.565,0.761
0.718,0.234
0.613,0.226
0.455,0.856
0.764,0.316
0.856,0.809
0.430,1.045
0.517,0.778
0.739,0.211
0.537,0.967
0.546,0.801
0.748,0.360
0.716,0.839
0.631,0.167
0.767,0.859
0.432,1.023
0.664,0.243
0.824,0.228
0.506,0.861
0.494,0.932
0.644,0.211
0.503,0.820
0.806,0.235
0.813,0.863
0.498,0.962
0.883,0.847
0.495,0.819
0.545,0.855
0.637,0.213
0.454,0.933
0.710,0.964
0.817,0.162
0.806,0.207
0.706,0.154
0.502,0.976
0.425,0.989
0.764,0.936
0.881,0.957
0.483,0.726
0.459,0.806
0.374,1.081
0.739,0.167
0.824,0.968
0.754,0.944
0.701,0.841
0.667,0.855
0.453,0.759
0.495,1.057
0.738,0.273
0.354,0.981
0.736,0.950
0.470,0.897
0.768,0.258
0.542,0.834
0.692,0.188
0.399,1.010
0.756,0.294
0.778,0.844
0.408,1.036
0.841,0.998
0.798,0.938
0.695,0.329
0.832,1.026
0.452,0.802
0.395,0.987
0.758,0.249
0.575,0.817
0.478,0.962
0.516,0.943
0.415,0.912
0.429,0.765
0.480,0.834
0.725,0.852
0.316,1.080
0.827,0.908
0.558,0.857
0.346,0.759
0.614,0.218
0.795,0.875
0.668,0.851
0.383,0.952
0.531,0.962
0.746,0.136
0.430,1.042
0.864,0.855
0.522,1.040
0.393,0.929
0.770,0.263
0.455,1.011
0.473,1.035
0.710,0.177
0.781,0.997
0.534,0.751
0.543,0.801
0.800,0.933
0.652,0.233
0.580,0.799
0.529,0.964
0.949,0.938
0.400,0.909
0.857,1.033
0.496,0.824
0.789,0.268
0.753,1.027
0.399,0.993
0.492,0.792
0.754,0.890
0.859,0.866
0.812,0.986
0.412,0.992
0.658,0.217
0.544,0.799
0.845,0.889
0.674,0.181
0.783,0.819
0.865,0.887
0.820,0.947
0.630,0.161
0.487,1.012
0.359,0.882
0.915,0.998
0.697,0.934
0.762,0.130
0.733,0.105
0.437,0.839
0.447,0.715
0.370,0.755
0.565,0.723
0.432,1.009
0.775,0.166
0.831,0.903
0.489,0.732
0.792,0.987
0.566,0.837
0.719,0.294
0.754,0.919
0.747,0.262
0.785,0.155
0.438,0.891
0.696,0.219
0.460,0.890
0.459,1.114
0.495,0.833
0.290,0.937
0.397,0.904
0.744,0.256
0.721,0.165
0.924,0.865
0.668,0.262
0.497,0.877
0.799,0.935
0.778,0.210
0.620,0.186
0.585,0.720
0.696,0.243
0.544,1.021
0.437,0.904
0.361,0.869
0.468,0.873
0.619,1.011
0.777,0.935
0.614,0.250
0.480,0.780
0.449,1.067
0.500,0.975
0.796,0.981
0.832,0.241
0.833,0.955
0.352,0.983
0.387,0.747
0.642,0.111
0.825,0.112
0.823,0.918
0.366,0.910
0.787,0.147
0.656,0.212
0.385,0.981
0.533,0.853
0.778,0.856
0.801,0.208
0.451,0.941
0.735,0.914
0.447,0.836
0.473,0.862
0.842,0.918
0.565,0.213
0.478,0.981
0.748,0.178
0.501,0.918
0.478,0.977
0.356,0.990
0.836,0.881
0.509,1.030
0.508,0.832
0.419,0.911
0.686,0.150
0.483,1.073
0.544,0.747
0.789,0.264
0.546,0.870
0.847,0.923
0.797,0.884
0.884,0.885
0.352,1.032
0.856,0.932
0.587,0.754
0.839,0.865
0.439,0.976
0.524,0.824
0.646,0.252
0.824,1.043
0.824,0.963
0.483,0.933
0.754,0.097
0.755,0.302
0.491,0.741
0.821,0.154
0.560,0.941
0.540,1.120
0.824,1.098
0.484,0.982
0.832,0.937
0.429,0.959
0.693,0.296
0.548,0.789
0.499,0.929
0.390,0.797
0.664,0.268
0.519,0.708
0.527,0.973
0.608,0.296
0.490,1.053
0.549,0.806
0.676,0.930
0.399,0.982
0.454,0.862
0.680,0.165
0.732,0.997
0.642,0.144
0.872,0.969
0.449,0.771
0.393,1.064
0.855,0.794
0.523,1.133
0.775,0.299
0.536,0.871
0.707,0.900
0.479,0.748
0.402,0.959
0.819,1.074
0.576,0.780
0.477,0.739
0.701,0.143
0.476,1.038
0.348,0.957
0.480,1.007
0.645,0.263
0.685,0.218
0.644,0.189
0.761,0.933
0.799,0.868
0.467,0.857
0.447,0.761
0.438,1.018
0.744,0.907
0.420,1.019
0.511,1.024
0.713,0.259
0.832,0.233
0.471,0.915
0.830,0.963
0.750,0.972
0.800,0.869
0.742,0.194
0.456,0.879
0.729,1.031
0.736,0.260
0.806,0.959
0.727,0.203
0.773,0.901
0.885,0.906
0.671,0.242
0.805,0.896
0.431,0.888
0.429,0.970
0.830,0.930
0.389,0.911
0.795,0.870
0.552,0.764
0.650,0.166
0.759,1.068
0.623,0.226
0.591,0.118
0.712,0.293
0.890,0.933
0.721,0.169
0.489,1.034
0.801,0.241
0.474,0.938
0.757,0.143
0.797,0.881
0.347,0.977
0.873,0.153
0.486,0.909
0.735,0.189
0.720,0.970
0.486,0.943
0.487,0.968
0.757,0.942
0.800,0.246
0.916,0.895
0.442,0.879
0.783,0.241
0.601,0.196
0.653,0.230
0.823,0.259
0.462,0.823
0.825,0.873
0.517,0.764
0.805,0.929
0.391,0.994
0.779,0.178
0.765,0.155
0.400,1.016
0.640,0.070
0.700,0.194
0.437,0.818
0.807,0.792
0.395,0.944
0.838,0.981
0.492,0.825
0.749,0.162
0.641,0.156
0.462,0.992
0.789,0.964
0.540,0.971
0.479,0.854
0.368,0.867
0.441,0.959
0.752,0.843
0.783,0.944
0.749,0.985
0.695,0.258
0.548,0.868
0.810,0.922
0.691,0.941
